lookback,n_long,n_short,rebalance,sharpe,total_return,max_dd
42,3,3,3,1.427684223290071,10.616031293687515,-0.31563570575987465
42,3,3,6,1.6686169786249738,17.187995138456174,-0.32131025142570113
42,3,3,12,1.5183435812913446,12.096571429464472,-0.3206603710399136
42,3,5,3,0.7638729229977658,1.5654243069491574,-0.24667033148137796
42,3,5,6,0.9457968794708015,2.3510966951579553,-0.26857321887717645
42,3,5,12,0.7604373562652311,1.4968698184521299,-0.2773586538790128
42,5,2,3,1.9604306570486705,21.046841508728832,-0.3246671050566132
42,5,2,6,1.9593067015959864,20.879160845178657,-0.3331868150547489
42,5,2,12,1.7540888292196097,14.537905187106992,-0.38908943782177763
42,5,3,3,1.8540312862103951,12.706842069549772,-0.27587035186909814
42,5,3,6,1.855958435216463,12.504564511513273,-0.3014553172694491
42,5,3,12,1.7067620965248838,9.761761586268218,-0.2869962636879091
42,5,5,3,1.5030800241588491,5.941759118646879,-0.241467604194622
42,5,5,6,1.5192049900756612,5.927190741215376,-0.25791995348455476
42,5,5,12,1.317225191973352,4.138348110321609,-0.3168096038197099
84,2,2,3,1.824309533305676,53.756835573606644,-0.40597568594797284
84,2,2,6,2.0372253799405207,89.6037172356789,-0.3597267627199784
84,2,2,12,1.6729046214036873,27.599621864940644,-0.43411301737618413
84,2,3,3,1.4539726264092645,10.123712572765932,-0.325523790252079
84,2,3,6,1.5922209905902251,13.224698832218523,-0.2998142260357597
84,2,3,12,1.190564818559657,5.127229545837456,-0.34264571006999667
84,2,5,3,0.5831969922340067,1.0022472165703928,-0.4087874906745598
84,2,5,6,0.6926739582106354,1.398730172124349,-0.3050789488828157
84,2,5,12,0.12884813904548922,-0.06464922458131239,-0.6576164410551437
84,3,2,3,2.0806882748957287,42.56666181229801,-0.39931078143125354
84,3,2,6,2.2910023037241913,63.92850123237466,-0.38186950186846014
84,3,2,12,2.0839278124944913,34.355806214052755,-0.3816770399366868
84,3,3,3,1.9522375153802805,30.905699388880738,-0.38645609119382696
84,3,3,6,2.12232841215134,42.61485572899201,-0.3829330616830511
84,3,3,12,1.8618241035804903,21.463437383658118,-0.37200894039003074
84,3,5,3,1.0219334371836124,2.6891264805861828,-0.3376208704156425
84,3,5,6,1.1829696714622902,3.648773414353731,-0.32094641182974504
84,3,5,12,0.6156930568227847,1.0074608340465372,-0.4626583967321327
84,5,2,3,1.9257053512466142,20.731796728813798,-0.35909693147436095
84,5,2,6,2.1066176706832684,28.68821256752754,-0.34393553482941563
84,5,2,12,1.7957400401761978,15.153918896023374,-0.3554635841196008
84,5,3,3,2.1024811186754526,19.451756400999443,-0.3208315439260392
84,5,3,6,2.2678249562442034,25.164217313788797,-0.3132868913072776
84,5,3,12,1.906086083963732,12.876987808323642,-0.30881007027416285
84,5,5,3,1.6585381362957738,7.227672102226853,-0.32523940476161695
84,5,5,6,1.867070024701514,9.801875627577848,-0.30711298038666335
84,5,5,12,1.1144441268904357,2.9112897384529055,-0.39094568000781493
