lookback,n_long,n_short,rebalance,total_return,cagr,sharpe,sortino,max_drawdown,calmar
42,5,3,6,0.30132690959746666,0.1648069795485776,0.7225082405174534,0.9658630673829728,-0.24931279973876064,0.6610449993793682
42,5,3,12,0.5607927833079767,0.2941596610044164,1.1492904419885432,1.5599035344827339,-0.22763481907274197,1.2922437006898142
42,5,5,3,-0.10003443604026507,-0.059222126980012835,-0.18338627274120492,-0.2467521794052548,-0.3444279161624463,-0.17194345812573816
42,5,5,6,0.1224808393417891,0.06921300990724011,0.4279269865898743,0.6111641818046936,-0.2737240007098053,0.2528569278826881
42,5,5,12,0.3585237497160936,0.19419189496529055,0.9644031925486122,1.3972614365976916,-0.20721918314868737,0.9371328079502694
60,2,2,3,-0.11748376374850655,-0.06983081674829239,-0.05169014135584845,-0.06525827804225293,-0.39457204214305264,-0.17697862314070173
60,2,2,6,0.017448394345517038,0.010069519446993747,0.19287823139586577,0.25938597981140077,-0.3178120688799686,0.03168387998127537
60,2,2,12,0.3657705388334702,0.19787745498509213,0.7317455326555725,1.0068533461848714,-0.2677608040184086,0.7390082940275605
60,2,3,3,-0.1159759542772475,-0.06891064873629527,-0.11751347918266289,-0.1621801522782463,-0.3327208408682194,-0.20711251076571027
60,2,3,6,-0.05447563250220866,-0.031924220651792456,0.022575505426895424,0.031823740523022455,-0.2604002176167145,-0.12259675104719772
60,2,3,12,0.07429475775880756,0.04238241156200484,0.2882964353777288,0.40783741246157457,-0.3462141149534316,0.12241676387950155
60,2,5,3,-0.19840307747628372,-0.12022786783758199,-0.4134829659560931,-0.5959344449964812,-0.3381573983898495,-0.35553818550193483
60,2,5,6,0.04919369265657081,0.0282053323578757,0.23569356546043574,0.3512596557854966,-0.1988985402464536,0.14180763882392852
60,2,5,12,0.19461106161742614,0.10848679085837065,0.5482777241184339,0.8352502364753936,-0.26251964595193766,0.41325208429632165
60,3,2,3,-0.11969746379073132,-0.07118296672656943,-0.07768485195751283,-0.09735537867961068,-0.36841646815637297,-0.1932133139508739
60,3,2,6,-0.0007607211610894948,-0.0004406892570563148,0.15420418618121406,0.20429818443762662,-0.29706782466764803,-0.0014834634398704968
60,3,2,12,0.2852897692493579,0.1564708756286204,0.6332669469324218,0.8500259473501778,-0.2565321334817132,0.6099464948307318
60,3,3,3,-0.1190358583456389,-0.07077870179218781,-0.15440359749912488,-0.2121940007011216,-0.2692884982507008,-0.26283596311007174
60,3,3,6,-0.07163997536830224,-0.04214234465588107,-0.031080675679084627,-0.04339316461605125,-0.26486193218267695,-0.15911061400403598
60,3,3,12,0.010767517839501917,0.00622261679842806,0.1549034226828083,0.21394940617153332,-0.3364254786097852,0.018496270924966352
60,3,5,3,-0.20101811342514853,-0.1218913866027439,-0.4919893376249912,-0.7072115170988279,-0.3144081454694442,-0.38768520586751126
60,3,5,6,0.030499571942033565,0.01755396162983769,0.18911752114291172,0.2824509827285663,-0.1964199133717508,0.08936956201897148
60,3,5,12,0.12475092431715984,0.07046494033909001,0.41744725728321236,0.6290045876170205,-0.274693513496293,0.2565220395713528
60,5,2,3,-0.030291547176211853,-0.017658675765634846,0.09342467955744649,0.11555623935851117,-0.3225163054129597,-0.05475281549881374
60,5,2,6,-0.0035943883802783683,-0.0020834894459784703,0.14084895009340834,0.18305387624909777,-0.36876087674743707,-0.005649974217317648
60,5,2,12,0.14786498265574433,0.08315214776467372,0.4238633648557354,0.5558606804816876,-0.3107823789624783,0.2675574723453447
60,5,3,3,-0.02960452831004534,-0.01725562234208644,0.051997834206968206,0.0706994081198297,-0.25985709883434516,-0.0664042753478389
60,5,3,6,-0.07444081518252732,-0.04381723442205032,-0.05917447805486827,-0.08158797300470078,-0.30859432130958453,-0.14198976259868532
60,5,3,12,-0.097414325495493,-0.05763667708610909,-0.12450170822371125,-0.1671610372847601,-0.382449024691791,-0.15070420726672656
60,5,5,3,-0.11940227469392262,-0.0710025796867576,-0.27024239832688746,-0.38831135568943687,-0.297336390235481,-0.23879545867401503
60,5,5,6,0.02787645383990478,0.01605290276923088,0.17932853205542781,0.2671112726610829,-0.2493362945784492,0.06438253522765866
60,5,5,12,0.004973873798660877,0.002877918905006327,0.11245889035842574,0.16423109733964766,-0.3050702307728166,0.009433627455933223
